StartTime,EndTime,Monday,Tuesday,Wednesday,Thursday,Friday
08:00:00,08:50:00,LAB,WEB ENGG.,WEB ENGG.,LAB,SEMINAR
08:50:00,09:40:00,LAB,N/W MANAGEMENT,LAB,LAB,SOFT COMPUTING
09:40:00,10:00:00,TEA BREAK,TEA BREAK,TEA BREAK,TEA BREAK,TEA BREAK
10:00:00,10:50:00,SOFT COMPUTING,SOFT COMPUTING,N/W MANAGEMENT,LAB,N/W MANAGEMENT
10:50:00,11:40:00,N/W MANAGEMENT,LAB,WIRELESS NETWORK,LAB,WIRELESS NETWORK
11:40:00,12:20:00,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH
12:20:00,01:10:00,WIRELESS NETWORK,WIRELESS NETWORK,SOFT COMPUTING,LAB,WEB ENGG.
01:10:00,02:00:00,LAB,LAB,SEMINAR,LAB,LAB
02:00:00,02:50:00,LAB,LAB,SEMINAR,LAB,LAB
